code,text
: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/CommitteeBroadcastArchive.aspx
: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx,: http://main.knesset.gov.il/News/Broadcast/Pages/default.aspx
: http://www.knesset.gov.il/vote/heb/vote_search.asp,: http://www.knesset.gov.il/vote/heb/vote_search.asp
1 - 2 weeks,1 - 2 semanas
1 - 3 days,1 - 3 días
1 - 3 years,1 - 3 años
1-2 weeks,1-2 semanas
1-3 days,1-3 días
10 or more years,10 o más años
4 - 6 days,4 - 6 días
4 - 6 years,4 - 6 años
4-6 days,4-6 días
5th Law, 5º Ley
5th Law 1992,5º Ley 1992
7 - 9 years,7 - 9 años
Access to this list must be requested to the 1st Secretary of the Governing Board. The request may take some time to be fulfilled., El aceso a la lista tiene que ser pedido en la 1º Secretaria de la comisión gobernante. El pedido puede demorarse un tiempo para ser rellenado.
Accessibility,Acesibilidad
"According to Article 10 of the Law on Lobbying, the Secretary General of the Assembly of the Republic of Macedonia keeps a Registry of Lobbyists, and the Registry is available to the public.","De acuerdo con el artículo 10 de la Ley de Lobby, el secretario general de la Asamblea de la República de Macedonia mantiene un Registro de los miembros de lobbys y este registro está disponible al público."
"According to Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a privately owned company. According to Article 8 of the Electoral Code and Article 21 of the Law on Prevention of Corruption, MPs are not allowed to be members of the management board in a publicly owned company.","De acuerdo con el artículo 21 de la Ley de la prevención de corrupción, los miembros del parlamento no pueden ser miembros de los comités administrativos en las empresas privadas. De acuerdo con el Artículo 8 del Código Electoral y el artículo 21 de la Ley de la prevención de corrupción, los miembros del parlamento no pueden ser miembros de los comités en las empresas públicas."
"According to law, a report on the Knesset expenditures is submitted to a joined committee headed by the Knesset Speaker. The protocol of the committee is on the internet. See example from 2013 -   http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf","De acuerdo con la ley, el informe sobre los gastos de Knesset esta presentado a un comité conjunto por el presidente de Knesset. El protocolo del comité está disponible en internet. Por ejemplo del año 2013 -   http://www.knesset.gov.il/protocols/data/rtf/knesset/2014-07-28.rtf"
According to the Freedom of Information Law every citizen has the right to receive information from a public authority.,"De acuerdo con la Ley de la libertad de información, cada ciudadano tiene derecho a recibir información de una autoridad pública."
"According to the Law on Lobbying, registry lists of active lobbyists are public.","De acuerdo con la Ley de Lobby, las listas de los miembros de lobbys son públicas."
"According to the Law on prevention of conflict of interests, public official including MPs may not be the president or member of a management body nor supervisory body,  executive director, member of management of the public company, public institution or other legal entity.","De acuerdo con la Ley de prevención del conflicto de los interéses, los funcionarios públicos, incluyendo a los miembros del parlamento, no pueden ser miembros de los comités de supervisión ni de los comités de administración, directores ejecutivos, miembros de la administración de las empresas públicas, instituciones públicas u otras entidades legales."
Acuerdo Legislativo 28-2014 - 2015 el presupuesto aprobado http://old.congreso.gob.gt/Legislacion/Ver_acuerdo.asp?id=18394,Acuerdo Legislativo 28-2014 - 2015 el presupuesto aprobado http://old.congreso.gob.gt/Legislacion/Ver_acuerdo.asp?id=18394
Administration, Administración
"Administration, Citizen Participation","Administración, Participación Ciudadana"
"Administration, Ethics","Administración, Ética"
"All members of the Congress have public profiles with their personal information contact. However, all email accounts are unavailable and other complementary information such as office adress and phone number are outdated.","Todos los miembros del Congreso tienen perfiles públicos con su información personal y con su contacto. No obstante, todas las cuentas de correo electrónico no estan disponibles y otros tipos de informaciónes, como por ejemplo, las direcciones, los números de teléfonos no están actualizados."
All voting records with individual names and vote taken are publicly available and linked to the piece of legislation and/or amendment in question.,Todos los historiales con los nombres individuales y las votaciones están disponibles al público y están conectadas a las partes concretas de la legislación y/o enmiendas en cuestión.
Annual budget is avaliable on the web site before discussing it and upon adoption,El presupuesto anual están disponible en las páginas de internet antes de que la discusión en el parlamento y su adopción.
anti corruption agency,agencia anti corupción
API,API
Are committee attendance records available?, ¿Están disponibles los historiales de la asistencia?
Are committee meeting agendas available to the public?,¿Están disponibles las agendas de los comités para el público?
Are committee meeting agendas available?,¿Están disponibles las agendas de los comités?
Are committee reports available to the public?,¿Están disponibles las agendas de los comités para el público?
Are committee reports available?,¿Están disponibles las agendas de los comités?
Are committee resolutions available?,¿Están disponibles las resoluciónes de los comités?
Are committee rules available?,¿Están disponibles las reglas del funcionamiento de los comités?
Are committee schedules available?,¿Están disponibles las programas de los comités?
Are committee voting records available to the public?,¿Están disponibles las votaciónes de los comités para el público?
Are committee voting records available?,¿Están disponibles las votaciónes de los comités?
Are complete versions of committee resolutions available to the public?,¿Están disponibles las resoluciónes de los comités para el público?
Are parliamentary documents translated?,¿Se traducen los documentos del parlamento?
Are parliamentary reports available?,¿Están disponibles los informes del parlamento?
Are plenary attendance records available?,¿Están disponibles los historiales de la asistencia al plenario?
Are plenary roll call voting records available to the public?,¿Están los historiales de las votaciónes nominales disponibles al público?
Are roll call voting records available?,¿Están los historiales de las votaciónes nominales disponibles?
Are the parliament's rules of procedure available?,¿Están disponibles las reglas sobre los procedimientos del parlamento?
Are the results of parliamentary investigations available?,¿Están disponibles los resultados de las investigaciones parlamentarias?
"Are there rules of procedure or policies that require that parliamentary information be published in open formats? If online, please provide a link.","¿Existen alguna reglas sobre el procedimiento de las políticas que requieren que la información parlamentaria sea publicada en los formatos abiertos? Si estan disponibles, le pedimos que nos provee el enlance."
Are verbatim committee transcripts available to the public?,¿Están disponibles las transcripciónes literales para el público?
Are verbatim committee transcripts available?,¿Están disponibles las transcripciónes literales?
Are verbatim plenary transcripts available to the public?,¿Están disponibles las transcripciónes literales del plenario para el público?
Are verbatim plenary transcripts available?,¿Están disponibles las transcripciónes literales del plenario?
Are voting records searchable?,¿Se pueden buscar los resultados de las votaciónes?
Argentina,Argentina
As part of information provided by committees, Como una parte de la información provenida de los comités
As soon as the agenda is established., Cuando la agenda sea establecida.
As soon as they are established, Tan pronto como estén establecidos
As soon as they are established.,Tan pronto como estén establecidos
As well as rules of proceeding doc. in general.,Así como las reglas del procedimiento en general.
"Aside from the general rules of procedure for the chamber, are there specific policies or guidelines designed to ensure that parliamentary data and information is open and accessible?","¿Aparte de las reglas generales del procedimiento para la cámara, existen algunas políticas o directrices diseñadas para asegurar que los datos parlamentarios y la información sean abiertos y acesibles?"
"Assessed and paid by an independent body, IPSA","Evaluado y pagado por una organización independiente, IPSA"
At Parliament house,En la casa del Parlamento
At present broadcasting facilities are limited meaning that it is not possible to provide a broadcast quality feed of all committees simultaneously,"En la actualidad, las instalaciones de difusión están limitadas, lo que significa que no es posible proveer una calidad de difusión de todos los comités a la vez"
Available by request at the Parliament House, Disponible por pedido en la casa del Parlamento
Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp), Disponible de TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp)
"Available from TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp) See also Erskine May's Treatise on the Law, Privileges, Proceedings and Usage of Parliament. Edited by Sir Malcolm Jack. Twenty-fourth edition. 2011. Butterworths LexisNexis. ISBN 9781405751063.","Disponible de TSO (http://www.tsoshop.co.uk/parliament/bookstore.asp) Mire tambien Erskine May's Treatise on the Law, Privileges, Proceedings and Usage of Parliament. Edited by Sir Malcolm Jack. Twenty-fourth edition. 2011. Butterworths LexisNexis. ISBN 9781405751063."
Available in Hansard as part of verbatim transcripts (see q50) for example http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm140926/debtext/140926-0003.htm#14092616000857,Disponible en Hansard como parte de las transcripciones literares (mire q50) por ejemplo http://www.publications.parliament.uk/pa/cm201415/cmhansrd/cm140926/debtext/140926-0003.htm#14092616000857
available not for all committees, no disponible para todos los comités
Available on the page of each bill,Disponible en la página de cada ley
available on the website of the ministry of finance,disponible en la página del ministerio de finanzas
"Basically, the order of business is uploaded more than two weeks before the plenary session, however, the voting schedule and the detailed agenda can be altered 4-6 days before (and even on the day of) the plenary session as well. ","Básicamente, el orden del día se publica con más de dos semanas antes de la sesión del plenario. No obstante, el programa de las votaciónes y la agenda detallada pueden ser cambiadas hasta 4-6 días antes (a veces incluso el mismo día) de la sesión del plenario."
Bosnia and Herzegovina,Bosnia y Herzegovina
Brazil,Brasil
Bulk download,Descarga masiva
but in the assets declarations available on the website of the Conflict of Interst Resolution Commission, pero en las declaraciones disponibles en las páginas de web del Comité para la resolución de los conflictos del interés
"but on the website of the Conflict of Interest Resolution Commission responsible for such investigations, there are no parliamentary investigations for these issues provided ","pero en las páginas de web del Comité para la resolución de los conflictos de interés que se encarga de las investigaciones, no existen ningunas investigaciónes del parlamento para estos asuntos"
"but only for one month after it is published, in non printable form. ""Pothen Esches"" record.","pero solamente por un mes después de su publicación, en una versión que no se puede imprimir. "Pothen Esches" historial."
but summarized versions; http://www.sabor.hr/Default.aspx?sec=4613,pero las versiones resumidas; http://www.sabor.hr/Default.aspx?sec=4613
"but this information is available not the parliamentary website, but on the website of the Conflict of Intrest Resoulution Commission responsible for MPs assests declaring datebase ","pero la información no está disponible en las páginas del parlamento, pero en las páginas del Comité para la resolución de los conflictos del interés, que se encarga de la base de datos con la información sobre las posesiones de los miembros del parlamento"
by  submitting information request, mediante la presentación de la solicitud para obtener la información
By making a written request to the Legislative Management Office, mediante un pedido por escrito en la oficina de administración de la legislación
By making a written request to the Legislative Management Office.,mediante el pedido por escrito en la oficina de administración de la legislación
Can a member of the public observe or listen to parliamentary plenary sessions?,¿Es posible para los ciudadanos observar o escuchar a las sesiones de plenario en el parlamento?
can be access via queries,se puede acceder vía peticiones o consultas
Can the public observe committee meetings?,¿Es posible para los ciudadanos observar  las sesiones de los comités?
"Can't be found on the parliaments web site. The ministry of finance publishes the annual government budget, that has some details to the parliament budget, but it is not easy to find.","No se puede encontrar en las páginas del web. El ministerio de finanzas publica el presupuesto anual, el cual contiene información sobre los detalles del presupuesto del parlamento, pero no es fácil encontrarlo"
category,categoría
CC BY-NC Atribution-Noncomercial,CC BY-NC Atribution-Noncomercial
Changes to bills?,¿Cambios a las leyes? 
Chile,Chile
Citizens can file a public data request in order to get a transparent view of expenditures (transparency and the lack of detailed explanations are the bottleneck of the problem),Los ciudadanos pueden rellenar el pedido para obtener datos públicos para obtener una visión transparente de los gastos (la transparencia y la falta de las explicaciónes forman la mayor parte del problema)
Close to real-time,Cerca al tiempo real
Colombia,Colombia
