code,text,link
title,Explorer,
choose_chambers,Sélectionner les Chambres,
choose_categories,Sélectionner les Catégories,
close,Fermer,
explore,Explorer,
select_individual_questions,Sélectionner les questions particuli?res,
data,Données,
details,Détails,
click_more_details,Cliquer pour les détails,
rotate,Faire tourner le tableau,
reset_rotate,Remettre ? la rotation intelligente,
suggest_edits_google_form,-,https://docs.google.com/forms/d/1_RpRTjV3RffgmZOOXZZPgY2e312QP2KpAE0i5asN2j4/viewform?embedded=true
suggest_edits_button,Propose les modifications des données,
suggest_edits_form_hide,Cacher le formulaire,
best_practices,Exemples des bonnes pratiques,
read_more,Lire plus...,
generate_map,Générer une carte,
select_all,Sélectionner tout,
deselect_all,Désélectionner tout,
suggest_edits_google_form_modal,-,https://docs.google.com/forms/d/1_RpRTjV3RffgmZOOXZZPgY2e312QP2KpAE0i5asN2j4/viewform?
suggest_edits_google_form_modal_entry_1,entry.1861306240,
suggest_edits_google_form_modal_entry_2,entry.1498204214,
